iter,train_loss,val_loss,lr,ms_per_iter
0,9.8508,9.8491,7.500e-07,44368
500,3.4484,3.4299,2.999e-04,33526
1000,2.7609,2.8159,2.959e-04,33536
1500,2.5679,2.6445,2.863e-04,33548
2000,2.4724,2.5528,2.715e-04,33567
2500,2.3845,2.5049,2.523e-04,33553
3000,2.2874,2.4418,2.293e-04,33551
3500,2.2350,2.4345,2.035e-04,33548
4000,2.2004,2.4252,1.761e-04,33562
4500,2.1636,2.4157,1.483e-04,33550
5000,2.0821,2.4262,1.212e-04,33549
5500,2.0463,2.4217,9.590e-05,33554
6000,2.0686,2.3970,7.357e-05,33571
6500,2.0136,2.4149,5.513e-05,33559
7000,2.0090,2.4168,4.137e-05,33555
7500,1.9806,2.3918,3.287e-05,33572
8000,1.9710,2.3993,3.000e-05,33570
